COM_NAME,supply 2022,Com_Code
Qaffin,969,ps/10/100290
Dhaher Al-Abed ,60,ps/01/010240
Akkaba,30,ps/10/100250
Izbat Shufa,364,ps/10/100725
Kafr abbush,554,ps/10/100915
Farun,659,ps/10/100735
Nazlat Isa,414,ps/10/100330
Baq al sharqia,542,ps/10/100350
An Nazla Algharbiya,1309,ps/10/100380
Iktaba,1219,ps/10/100595
Deir al Ghusun,1692,ps/10/100530
Atil,1609,ps/10/100480
,,
ILLar,708,ps/10/100475
,,
Seida,359,ps/10/100440
,,
Zeita ,359,ps/10/100425
,,
 Kafar Jamal,472,ps/10/100900
Kafar Sur ,529,ps/10/100845
Anabta &,106,ps/10/100665
Kafr Rumman,346,ps/10/100665_1
Rameen ,1749,ps/10/100730
,,
"Tulkarem  ,Tulkarem Camp and Nour shames camp",227,ps/10/100645
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Bal'a,2147,ps/10/100570
,,
Shufa,1437,ps/10/100760
Izbat al Khila ,149,ps/10/100685
Al Hafas a ,225,ps/10/100715
Kafr al Labad ,5054,ps/10/100690
Kafr Zibad,1298,ps/10/100895
